iter	Passed	Remaining
315	54336	31639
316	54498	31461
317	54656	31281
318	54832	31111
319	54998	30936
320	55158	30758
321	55326	30584
322	55480	30402
323	55652	30231
324	55814	30054
325	55970	29873
326	56139	29700
327	56303	29524
328	56459	29345
329	56630	29173
330	56796	28998
331	56962	28824
332	57123	28647
333	57272	28464
334	57440	28291
335	57598	28113
336	57752	27933
337	57916	27758
338	58084	27585
339	58242	27408
340	58404	27232
341	58548	27048
342	58694	26866
343	58856	26690
344	59030	26520
345	59184	26342
346	59337	26163
347	59503	25990
348	59687	25824
349	59872	25659
350	60086	25506
351	60299	25353
352	60485	25188
353	60673	25023
354	60850	24854
355	61026	24684
356	61194	24512
357	61360	24338
358	61531	24167
359	61709	23998
360	61883	23827
361	62080	23666
362	62241	23490
363	62398	23313
364	62566	23141
365	62748	22973
366	62914	22800
367	63081	22626
368	63263	22459
369	63439	22289
370	63609	22117
371	63779	21945
372	63936	21769
373	64081	21589
374	64238	21412
375	64407	21240
376	64576	21068
377	64758	20900
378	64920	20726
379	65087	20553
380	65235	20375
381	65411	20205
382	65580	20033
383	65744	19860
384	65912	19688
385	66088	19518
386	66255	19346
387	66442	19179
388	66620	19010
389	66797	18840
390	66960	18666
391	67123	18493
392	67286	18319
393	67451	18146
394	67627	17976
395	67795	17804
396	67979	17636
397	68130	17460
398	68289	17286
399	68444	17111
400	68603	16936
401	68763	16763
402	68917	16588
403	69075	16414
404	69254	16244
405	69420	16072
406	69582	15899
407	69756	15729
408	69914	15555
409	70073	15381
410	70239	15209
411	70408	15038
412	70589	14869
413	70742	14695
414	70926	14527
415	71115	14359
416	71297	14191
417	71477	14021
418	71652	13851
419	71811	13678
420	71974	13505
421	72137	13333
422	72301	13161
423	72466	12989
424	72627	12816
425	72787	12643
426	72947	12471
427	73108	12298
428	73266	12125
429	73425	11952
430	73577	11779
431	73731	11605
432	73884	11432
433	74049	11260
434	74209	11088
435	74369	10916
436	74532	10744
437	74693	10573
438	74868	10403
439	75025	10230
440	75188	10059
441	75345	9886
442	75506	9715
443	75656	9542
444	75798	9368
445	75969	9198
446	76131	9026
447	76295	8855
448	76459	8684
449	76621	8513
450	76786	8342
451	76946	8171
452	77115	8000
453	77284	7830
454	77437	7658
455	77606	7488
456	77787	7319
457	77945	7147
458	78103	6976
459	78271	6806
460	78441	6636
461	78603	6465
462	78774	6295
463	78941	6124
464	79099	5953
465	79262	5783
466	79424	5612
467	79592	5442
468	79753	5271
469	79917	5101
470	80081	4930
471	80241	4760
472	80413	4590
473	80575	4419
474	80730	4248
475	80886	4078
476	81061	3908
477	81247	3739
478	81418	3569
479	81591	3399
480	81752	3229
481	81933	3059
482	82107	2889
483	82292	2720
484	82464	2550
485	82628	2380
486	82804	2210
487	82947	2039
488	83127	1869
489	83287	1699
490	83449	1529
491	83610	1359
492	83768	1189
493	83922	1019
494	84095	849
495	84252	679
496	84421	509
497	84585	339
498	84741	169
499	84893	0
