iter	RMSE
448	3314.484677
449	3312.309626
450	3310.975123
451	3309.618446
452	3307.397553
453	3306.977303
454	3305.895223
455	3305.000762
456	3303.773427
457	3300.725044
458	3298.894619
459	3297.832961
460	3297.108697
461	3296.009678
462	3294.865804
463	3294.169123
464	3293.194051
465	3291.802789
466	3288.365853
467	3286.962282
468	3285.970643
469	3285.186611
470	3282.963755
471	3277.93463
472	3276.708621
473	3275.599942
474	3265.097076
475	3262.616935
476	3260.563332
477	3259.018746
478	3258.633708
479	3256.643181
480	3256.281734
481	3255.292326
482	3254.329904
483	3252.303328
484	3251.32219
485	3249.643543
486	3246.157832
487	3245.640853
488	3244.640554
489	3243.251854
490	3242.78084
491	3241.493603
492	3240.663962
493	3239.799652
494	3239.721481
495	3238.456242
496	3236.18933
497	3235.389335
498	3232.652482
499	3231.371768
